ID;szuloID;szuloNev;nev;latin név;leiras;veszélyeztetett_besorolas;tureshatar;fotó URL;wiki URL
"1;4;madagaszkári cibetmacskafélék;Fossza;Cryptoprocta ferox;""Madagaszkár legnagyobb ragadozó állata: nőstény testhossza 65–70 centiméter, a hímé 75–80 centiméter, farokhossza 70–90 centiméter, a nőstény testtömege 5–7 kilogramm, a hímé 6–10 kilogramm. Különösen szembeötlővé válik ez a macskaszerűség, ha a fosszát a vele egyező színezetű, megnyúlt alakú, alacsony tairával (Eira barbara) vetjük össze. A hasonlóság miatt a rendszertani helye is hosszú ideig vitás volt."";Sebezhető;Generalista;https://hu.wikipedia.org/wiki/Fossza#/media/F%C3%A1jl:Cryptoprocta_Ferox.JPG;https://hu.wikipedia.org/wiki/Fossza"
2;4;madagaszkári cibetmacskafélék;Falanuk;Eupleres goudotii;Madagaszkáron honos. Kevés megfigyelés van róla. Megeszi a gilisztát, a csigát és a rovarokat is.;Mérsékelten fenyegetett;Specialista;https://peteoxford.photoshelter.com/image/I0000cr1UwA81vf8;https://hu.wikipedia.org/wiki/Falanuk
3;4;madagaszkári cibetmcskafélék;Madagaszkári csíkos cibetmacska;Fossa fossana;A család képviselőinek megjelenése karcsú és hosszú. Lábaik többnyire rövidek. Szőrzetük rövid és sűrű, jellemző színárnyalatuk a barna és a szürke. A legtöbb faj bundája mintázott, pettyes vagy csíkos. Olykor ez a mintázat csak a farkon figyelhető meg. Farkuk rövidebb valamivel, mint a testhosszuk. A fajok fő élőhelyei az erdős területek. A két kilogrammnál kisebb tömegű fajok, javarészt ízeltlábúakkal, puhatestűekkel és kisebb gerincesekkel (kétéltűek, kis gyíkok, madártojások és fiókák, apróbb emlősök) táplálkoznak. Több faj dögöt is fogyaszt, némelyek étrendjében szezonálisan nagy szerephez jut a növényi eredetű táplálék is.;Sebezhető;Specialista;https://hu.wikipedia.org/wiki/Fanaloka#/media/F%C3%A1jl:Fossa_fossana_(JoRoRe_2004-08-17_18h08m10s).jpg;https://hu.wikipedia.org/wiki/Fanaloka
4;15;kutyafélék;Szürke farkas;Canis lupus;Holasztikus faj (az ember után) a legnagyobb területen elterjedt emlősök egyike.;Nem fenyegetett;Generalista;https://hu.wikipedia.org/wiki/Sz%C3%BCrke_farkas#/media/F%C3%A1jl:Front_view_of_a_resting_Canis_lupus_ssp.jpg;https://hu.wikipedia.org/wiki/Sz%C3%BCrke_farkas
5;6;macskaformák;Házimacska;Felis silvestris catus;A macskák élvezik a meleget és a napsütést, gyakran alszanak napos helyeken. Magasabb hőmérsékleten érzik jól magukat, mint az emberek, akik számára a 44,5 °C-nál nagyobb bőrfelszíni hőmérséklet már nehezen elviselhető, míg a macskák kezdik kellemetlenül érezni magukat, ha a bőrük 52 °C-ra melegszik. Körülbelül 10 000 évvel ezelőtt kezdett az ember társaságában élni háziasításának első ábrázolása mintegy 4000 éve Egyiptomban történt. Számos kínai rajz bizonyítja, hogy a Távol-Keleten már i. e. 1500 körül ismerték a macskát, mely az Egyiptommal ősidők óta kapcsolatban álló Indiából kerülhetett oda, ahol vallási ceremóniáknál kapott fontos szerepet. Kezdetben a gazdagok státusszimbóluma volt, majd a későbbiekben az értékes selyem kártevőktől való megvédéséhez használták fel. Japánban a szent iratok megóvásában nyújtott segítséget.;Háziasított;Generalista;https://hu.wikipedia.org/wiki/Macska#/media/F%C3%A1jl:Domestic_cat_cropped.jpg;https://hu.wikipedia.org/wiki/Macska
6;11;cibetmacskafélék;Tigrispetymegformák;Prionodon pardicolor;Igen hegyes fejű, rendkívül megnyúlt törzsű, nagyon rövidlábú, a törzs hosszával szinte egyenlő hosszúságú farokkal és sörénytelen, símán a testhez lapuló bundával rendelkezik.;Nem fenyegetett;Generalista;http://mek.niif.hu/03400/03408/html/img/brehm-04-038-2.jpg;https://hu.wikipedia.org/wiki/Tigrispetymegform%C3%A1k
7;13;Macskamedvefélék;Vörös macskamedve;Ailurus fulgens;A macskamedve testhossza 60 centiméter, magassága 35 centiméter. A test felső fele, fényessötét rozsdavörös, hátán aranysárga árnyalatú, mert a szőrszálak hegye sárga. A test alsó fele és a végtagok fényesfeketék, a comb elülső és külső felén vízszintesen sötét gesztenyevörös sáv húzódik. Álla és pofaszakálla fehér, hátrafelé rozsdasárgába hajló, homloka és a fejtető rozsdasárga árnyalatú. Szeme alól a szájszögletig rozsdavörös csík húzódik, ez elválasztja a fehér arcorrt a pofától. Rókavörös farkát gyengén határolt világos gyűrűk övezik. A mellső végtagján hat ujj van. A hatodik ujj a csuklócsont megnagyobbodása, amely szembefordítható a többivel.;Fenyegetett;Specialista;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/A_Kis_Panda.jpg/1024px-A_Kis_Panda.jpg;https://hu.wikipedia.org/wiki/V%C3%B6r%C3%B6s_macskamedve
8;17;Vidraformák;Hosszúfarkú Vidra;Lontra longicaudis;A hosszúfarkú vidra átlag fej-testhossza 60-100 centiméter, farokhossza pedig 30-50 centiméter. Testtömege 5-15 kilogramm között lehet. A hímek nagyobbak a nőstényeknél. Ez a vidrafaj számos vizes helyen található meg. Általában a nagy folyók közelségét keresi. Egyaránt megél a lombhullató- és örökzöld erdőkben, a nagy mocsaras területeken, valamint a szavannákon is. Állományai nagyobbak és egészségesebbek a magasabban levő gyorsabb folyású folyókban és patakokban, mint az alföldek állóvizeiben. Fő táplálékai a halak, a kagylók és a puhatestűek, de rovarokat, madarakat, kisebb emlősöket és hüllőket is elfogyaszt. Magányosan él és vadászik.;Súlyosan Veszélyeztetett;Generalista;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Parque_Zool%C3%B3gico_y_Bot%C3%A1nico_Bararida_2008_010.JPG/240px-Parque_Zool%C3%B3gico_y_Bot%C3%A1nico_Bararida_2008_010.JPG;https://hu.wikipedia.org/wiki/Hossz%C3%BAfark%C3%BA_vidra
"9;17;Vidraformák;Tengeri Vidra;Enhydra lutris;""A tengeri vidra az Észak-Csendes-óceán jellegzetes állata. A felnőtt tengeri vidrák testtömege 14–45 kilogramm között van, Eltérően a többi tengeri emlőstől, a tengeri vidra a testhőmérséklet megtartásában, nem a hőszigetelő zsírrétegre, hanem a vastag bundájára hagyatkozik. A tengeri vidra a partközeli vizeket kedveli, ahol gyorsan le tud merülni a tengerfenékre, hogy táplálékot hozzon fel. Főleg tengeri gerinctelenekkel táplálkozik, például tengerisünökkel, különféle puhatestűekkel és rákokkal, de egyes halfajokat is fogyaszt. Táplálkozási módszere szinte hihetetlen; a kemény héjú kagylókat a tengerfenékről felhozott kövekkel ütögetve töri fel, így azon kevés állatok közé tartozik, amelyek tárgyakat használnak. Az állat kulcsfaj: megfékezi a tengerisünök túlszaporodását, melyek lelegelnék az összes barnamoszat erdőt. Tápláléka között olyan élőlények is vannak, amelyeket az ember is szívesen fogyaszt, emiatt sokszor konfliktusba kerül a kagylótenyésztőkkel és a halászokkal."";Veszélyeztetett;Generalista;https://filantropikum.b-cdn.net/wp-content/uploads/2013/11/vidra.jpg;https://hu.wikipedia.org/wiki/Tengeri_vidra"
10;13;Mosómedvefélék;Mosómedve;Procyon lotor;A mosómedve többnyire 60–95 cm hosszú, farka 20–40 cm, testtömege átlagosan 6–7 kilogramm, de 2–10 kilogramm között változhat. A tömeg nagy része az elraktározott zsír, főleg a hidegebb éghajlaton élő állatoknál. Bundája szürkésbarna, a hasi oldalon fehéres. Jellegzetes a farok fekete-fehér gyűrűs csíkozása, illetve a szemek feletti fekete álarc, ami afféle miniatűr gonosztevő külsejével ruházza fel a gyakran valóban szemtelenül lopkodó állatot. A fej alakja egyébként rókaszerű, orra és fülei hegyesek, ötujjú mancsai rendkívül ügyesek.;Nem fenyegetett;Generalista;https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Procyon_lotor_2.jpg/1024px-Procyon_lotor_2.jpg;https://hu.wikipedia.org/wiki/Mos%C3%B3medve
"11;13;Mosómedvefélék;Kis Nyestmedve;Bassaricyon neblina;""z átlagos fej-testhossza 35,5 centiméter, farokhossza 33,5-42,4 centiméter és testtömege 900 gramm; ezekkel a méretekkel a legkisebb mosómedveféle. A rokonainál hosszabb szőrzetű bundája vörösesbarna színű. Ennek az állatnak 40 darab foga van. Mindenevő, főként gyümölcsöket eszik (például fügét), de rovarokat és nektárt is fogyaszt. "";Mérsékelten fenyegetett;Specialista;https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Olinguito_ZooKeys_324%2C_solo.jpg/260px-Olinguito_ZooKeys_324%2C_solo.jpg;https://hu.wikipedia.org/wiki/Kis_nyestmedve"
12;13;Mosómedvefélék;Kinkaju;Potos flavus;Testhossza 40-60 centiméter, farokhossza akár 55 centiméter hosszú is lehet, testtömege 2-3 kilogramm. Aranybarna színű, rövid szőrű bundája sűrű és puha. Bőre néha lazán lóg a testén. A fiatal állatnak puha, sötéten melírozott bundája van. Lábain öt ujj van, amelyek hosszú karomban végződnek. Ujjai a táplálékgyűjtésben játszanak fontos szerepet. A farok nagyon hajlékony és gyakran ugyanolyan hosszú, mint az állat törzse. Nyelvével - amelynek hossza elérheti a 12 centimétert - lenyalja a virágok nektárját és kiszívja a puha erdei gyümölcsök édes levét. Ezenkívül bundája tisztogatására is használja. Ennek az állatnak 36 darab foga van.;;Specialista;https://upload.wikimedia.org/wikipedia/commons/2/2f/Kinkajou.jpg;https://hu.wikipedia.org/wiki/Farksodr%C3%B3
