null,ragadozo,ragadozo vagyok
ragadozo,macskaalkatuak,A macskakalkatuakra jellemzo ...
ragadozo,kutyaalkatuak,A kutyaalkatuak meghatarazo ...
macskaalkatuak,madagaszkári cibetmacskafélék,(Eupleridae) családja – 8 faj
macskaalkatuak,macskafélék,(Felidae) családja – 39 faj
macskaalkatuak,mongúzfélék,(Herpestidae) családja – 32 faj
macskaalkatuak,hiénafélék,(Hyaenidae) családja – 4 faj
kutyaalkatuak,macskamedvefélék,(Ailuridae) családja – 1 faj
kutyaalkatuak,kutyafélék,(Canidae) családja – 34 faj
kutyaalkatuak,bűzösborzfélék,(Mephitidae) családja – 12 faj
kutyaalkatuak,menyétfélék,(Mustelidae) családja – 55 faj
menyétfélék,vidraformák,(Lutrinae) alcsaládja – 13 faj
